RowIndex,GeneratedInteraction,RealInteraction,ErrorFlag
0,8::Unknown,8::28371,1
1,8::40306,8::40306,0
2,8::85279,8::85279,0
3,8::Unknown,8::91764,1
4,8::Unknown,8::97723,1
5,8::Unknown,8::105468,1
6,8::105468,8::106690,1
7,Unknown,32::3203,1
8,32::3203,32::7978,1
9,32::10668,32::8670,1
10,32::10670,32::12847,1
11,32::12847,32::83734,1
12,Unknown,57::9145,1
13,57::10668,57::9152,1
14,57::10668,57::23849,1
15,57::23849,57::29455,1
16,57::31957,57::65215,1
17,57::Unknown,57::85166,1
18,57::Unknown,57::101198,1
19,147::10647,147::19354,1
20,147::19455,147::19622,1
21,147::19787,147::22728,1
22,147::28847,147::27421,1
23,147::31215,147::30118,1
24,147::32723,147::31053,1
25,147::34121,147::33163,1
26,147::37151,147::35908,1
27,147::38321,147::38536,1
28,147::40741,147::38853,1
29,147::40751,147::44414,1
30,147::49341,147::45368,1
31,147::49341,147::47658,1
32,147::49341,147::50538,1
33,147::52341,147::54173,1
34,147::57351,147::55826,1
35,147::58341,147::56555,1
36,147::59541,147::56742,1
37,147::57319,147::60219,1
38,147::61551,147::70781,1
39,147::71857,147::72740,1
40,147::74751,147::73561,1
41,147::74751,147::75061,1
42,147::76051,147::78003,1
43,147::79783,147::85755,1
44,147::87651,147::87453,1
45,147::90442,147::87499,1
46,147::89855,147::88108,1
47,147::88145,147::88649,1
48,147::89641,147::89560,1
49,147::89851,147::90178,1
50,Unknown,147::90442,1
51,Unknown,147::91138,1
52,147::Unknown,147::93282,1
53,147::Unknown,147::94771,1
54,147::Unknown,147::99246,1
55,147::Unknown,147::105832,1
56,Unknown,233::2716,1
57,242::Unknown,242::6704,1
58,242::7121,242::45650,1
59,259::Unknown,259::11568,1
60,302::Unknown,302::8232,1
61,302::Unknown,302::28061,1
62,319::10641,319::22091,1
63,319::10659,319::57151,1
64,319::62341,319::59208,1
65,319::62341,319::89224,1
66,319::103111,319::96577,1
67,336::10641,336::29658,1
68,372::10657,372::5584,1
69,372::10651,372::41072,1
70,372::49351,372::65754,1
71,372::83251,372::93030,1
72,427::10641,427::21127,1
73,485::10651,485::27229,1
74,485::10693,485::44046,1
75,485::49351,485::49978,1
76,485::62342,485::84972,1
77,485::101111,485::89549,1
78,485::Unknown,485::95152,1
79,485::Unknown,485::97386,1
80,521::10641,521::78592,1
81,521::10393,521::79054,1
82,538::10657,538::16972,1
83,620::10651,620::71735,1
84,620::83251,620::73515,1
85,788::10687,788::1263,1
86,788::13551,788::1423,1
87,788::1555,788::10680,1
88,788::10683,788::17308,1
89,788::19487,788::17711,1
90,788::19442,788::19812,1
91,788::20493,788::21566,1
92,788::21987,788::25795,1
93,788::26387,788::28115,1
94,788::31242,788::30669,1
95,788::34135,788::31272,1
96,788::33235,788::31503,1
97,788::34151,788::31994,1
98,788::32351,788::37851,1
99,788::38351,788::40001,1
100,Unknown,788::41461,1
101,788::Unknown,788::41911,1
102,788::Unknown,788::42525,1
103,788::Unknown,788::44166,1
104,788::Unknown,788::49031,1
105,788::Unknown,788::49329,1
106,788::49329,788::51379,1
107,788::Unknown,788::51985,1
108,788::Unknown,788::52177,1
109,788::52551,788::52355,0
110,788::52551,788::54005,1
111,788::54295,788::55395,1
112,788::55995,788::59979,1
113,788::60141,788::60349,1
114,788::60551,788::60597,1
115,788::60749,788::61823,1
116,788::62095,788::63285,1
117,788::63749,788::64432,1
118,788::64895,788::64555,1
119,788::64749,788::71664,1
120,788::71857,788::76566,1
121,788::76795,788::78108,1
122,788::78419,788::80417,1
123,788::80951,788::83503,1
124,788::83687,788::92968,1
125,788::Unknown,788::93594,1
126,788::93695,788::96951,0
127,788::Unknown,788::100668,1
128,788::Unknown,788::100884,1
129,788::101111,788::101946,1
130,788::102111,788::102218,0
131,788::103111,788::102248,1
132,788::102304,788::102824,0
133,788::103111,788::106833,1
134,Unknown,819::45897,1
135,819::46051,819::80924,1
136,Unknown,913::17855,1
137,934::Unknown,934::2300,1
138,Unknown,934::30201,1
139,934::30207,934::35259,1
140,934::40306,934::49058,1
141,934::49359,934::49408,1
142,934::49408,934::53002,1
143,934::53005,934::57359,1
144,934::57393,934::72005,1
145,934::72005,934::75998,1
146,934::78449,934::79828,1
147,934::81995,934::104426,1
148,970::10659,970::26954,1
149,970::31251,970::39694,1
150,970::101111,970::41610,1
151,970::41620,970::54333,1
152,970::Unknown,970::63930,1
153,970::Unknown,970::76601,1
154,Unknown,1016::40625,1
155,1016::Unknown,1016::66073,1
156,1016::Unknown,1016::83675,1
157,1016::Unknown,1016::87923,1
158,1016::Unknown,1016::92302,1
159,Unknown,1033::71493,1
160,Unknown,1049::10192,1
161,1049::10693,1049::92465,1
162,1094::10111,1094::102129,1
163,1103::10193,1103::33703,1
164,1103::49342,1103::52867,1
165,1103::63751,1103::66759,0
166,1103::71851,1103::87652,1
167,1113::10193,1113::5424,1
168,1113::71851,1113::75182,0
169,1113::93635,1113::96703,1
170,1149::10193,1149::12708,1
171,1149::19487,1149::50255,1
172,1263::10193,1263::788,1
173,1263::10193,1263::9145,1
174,1263::11987,1263::12299,1
175,1263::16787,1263::19812,1
176,1263::21987,1263::21779,0
177,1263::Unknown,1263::23849,1
178,1263::26351,1263::32598,1
179,1263::38742,1263::40523,1
180,1263::49341,1263::41461,0
181,1263::49342,1263::42525,1
182,1263::49342,1263::44166,1
183,1263::45442,1263::44871,1
184,1263::45695,1263::45276,0
185,1263::45681,1263::47252,1
