RowIndex,GeneratedInteraction,RealInteraction,ErrorFlag
0,1::1193,1::1193,0
1,1::1193,1::661,1
2,1::1193,1::914,1
3,1::1193,1::3408,1
4,1::1193,1::2355,1
5,1::1193,1::1197,0
6,1::1193,1::1287,1
7,1::1193,1::2804,1
8,1::1193,1::594,1
9,1::1193,1::919,1
10,1::1193,1::595,1
11,1::1193,1::938,1
12,1::1193,1::2398,1
13,1::1193,1::2918,1
14,1::1193,1::1035,1
15,1::1193,1::2791,1
16,1::1193,1::2687,1
17,1::1193,1::2018,1
18,1::1193,1::3105,1
19,1::1193,1::2797,1
20,1::1193,1::2321,1
21,1::1193,1::720,1
22,1::1193,1::1270,1
23,1::1193,1::527,1
24,1::1193,1::2340,1
25,1::1193,1::48,1
26,1::1193,1::1097,1
27,1::1193,1::1721,1
28,1::1193,1::1545,1
29,1::1193,1::745,1
30,1::1193,1::2294,1
31,1::1193,1::3186,1
32,1::1193,1::1566,1
33,1::1193,1::588,1
34,1::1193,1::1907,1
35,1::1193,1::783,1
36,1::1193,1::1836,1
37,1::1193,1::1022,1
38,1::1193,1::2762,1
39,1::1193,1::150,1
40,1::1193,1::1,1
41,1::1193,1::1961,1
42,1::1193,1::1962,1
43,1::1193,1::2692,1
44,1::1193,1::260,1
45,1::1193,1::1028,1
46,1::1193,1::1029,1
47,1::1193,1::1207,1
48,1::1193,1::2028,1
49,1::1193,1::531,1
50,1::1193,1::3114,1
51,1::1193,1::608,1
52,1::1193,1::1246,1
53,2::31,2::1357,1
54,2::31,2::3068,1
55,2::31,2::1537,1
56,2::31,2::647,1
57,2::31,2::2194,1
58,2::31,2::648,1
59,2::31,2::2268,1
60,2::31,2::2628,1
61,2::31,2::1103,1
62,2::31,2::2916,1
63,2::31,2::3468,1
64,2::31,2::1210,1
65,2::31,2::1792,1
66,2::31,2::1687,1
67,2::31,2::1213,1
68,2::31,2::3578,1
69,2::31,2::2881,1
70,2::31,2::3030,1
71,2::31,2::1217,1
72,2::31,2::3105,0
73,2::31,2::434,1
74,2::31,2::2126,1
75,2::31,2::3107,0
76,2::31,2::3108,0
77,2::31,2::3035,1
78,2::31,2::1253,1
79,2::31,2::1610,1
80,2::31,2::292,1
81,2::31,2::2236,1
82,2::31,2::3071,0
83,2::31,2::902,1
84,2::31,2::368,1
85,2::31,2::1259,1
86,2::31,2::3147,0
87,2::31,2::1544,1
88,2::31,2::1293,1
89,2::31,2::1188,1
90,2::31,2::3255,1
91,2::31,2::3256,1
92,2::31,2::3257,1
93,2::31,2::110,1
94,2::31,2::2278,1
95,2::31,2::2490,1
96,2::31,2::1834,1
97,2::31,2::3471,0
98,2::31,2::589,1
99,2::31,2::1690,1
100,2::31,2::3654,1
101,2::31,2::2852,1
102,2::31,2::1945,1
103,2::31,2::982,1
104,2::31,2::1873,1
105,2::31,2::2858,1
106,2::31,2::1225,1
107,2::31,2::2028,1
108,2::31,2::515,1
109,2::31,2::442,1
110,2::31,2::2312,0
111,2::31,2::265,1
112,2::31,2::1408,1
113,2::31,2::1084,1
114,2::31,2::3699,1
115,2::31,2::480,1
116,2::31,2::1442,1
117,2::31,2::2067,1
118,2::31,2::1265,1
119,2::31,2::1370,1
120,2::31,2::1193,1
121,2::31,2::1801,1
122,2::31,2::1372,1
123,2::31,2::2353,1
124,2::31,2::3334,1
125,2::31,2::2427,1
126,2::31,2::590,1
127,2::31,2::1196,1
128,2::31,2::1552,1
129,2::31,2::736,1
130,2::31,2::1198,1
131,2::31,2::593,1
132,2::31,2::2359,1
133,2::31,2::95,1
134,2::31,2::2717,1
135,2::31,2::2571,1
136,2::31,2::1917,1
137,2::31,2::2396,1
138,2::31,2::3735,1
139,2::31,2::1953,1
140,2::31,2::1597,1
141,2::31,2::3809,1
142,2::31,2::1954,1
143,2::31,2::1955,1
144,2::31,2::235,1
145,2::31,2::1124,1
146,2::31,2::1957,1
147,2::31,2::163,1
148,2::31,2::21,1
149,2::31,2::165,1
150,2::31,2::2321,0
151,2::31,2::1090,1
152,2::31,2::380,1
153,2::31,2::2501,1
154,2::31,2::349,1
155,2::31,2::457,1
156,2::31,2::1096,1
157,2::31,2::920,1
158,2::31,2::459,1
159,2::31,2::1527,1
160,2::31,2::3418,0
161,2::31,2::1385,1
162,2::31,2::3451,0
163,2::31,2::3095,1
164,2::31,2::780,1
165,2::31,2::498,1
166,2::31,2::2728,1
167,2::31,2::2002,1
168,2::31,2::1962,1
169,2::31,2::1784,1
170,2::31,2::2943,1
171,2::31,2::2006,1
172,2::31,2::318,0
173,2::31,2::1207,1
174,2::31,2::1968,1
175,2::31,2::3678,1
176,2::31,2::1244,1
177,2::31,2::356,1
178,2::31,2::1245,1
179,2::31,2::1246,1
180,2::31,2::3893,1
181,2::31,2::1247,1
182,3::47,3::3421,1
183,3::47,3::1641,1
184,3::47,3::648,1
185,3::47,3::1394,1
186,3::47,3::3534,1
187,3::47,3::104,1
188,3::47,3::2735,1
189,3::47,3::1210,1
190,3::47,3::1431,1
191,3::47,3::3868,1
192,3::47,3::1079,1
193,3::47,3::2997,1
194,3::47,3::1615,1
195,3::47,3::1291,1
196,3::47,3::1259,1
197,3::47,3::653,1
198,3::47,3::2167,1
199,3::47,3::1580,1
200,3::47,3::3619,1
201,3::47,3::260,1
202,3::47,3::2858,1
203,3::47,3::3114,1
204,3::47,3::1049,1
205,3::47,3::1261,1
206,3::47,3::552,1
207,3::47,3::480,1
208,3::47,3::1265,1
209,3::47,3::1266,1
210,3::47,3::733,1
211,3::47,3::1196,1
212,3::47,3::590,1
213,3::47,3::2355,1
214,3::47,3::1197,1
215,3::47,3::1198,1
216,3::47,3::1378,1
217,3::47,3::593,1
218,3::47,3::1379,1
219,3::47,3::3552,1
220,3::47,3::1304,1
221,3::47,3::1270,1
222,3::47,3::2470,0
223,3::47,3::3168,1
224,3::47,3::2617,1
225,3::47,3::1961,1
226,3::47,3::3671,1
227,3::47,3::2006,1
228,3::47,3::2871,1
229,3::47,3::2115,1
230,3::47,3::1968,1
231,3::47,3::1136,1
232,3::47,3::2081,1
233,4::242,4::3468,1
234,4::242,4::1210,1
235,4::242,4::2951,1
236,4::242,4::1214,1
237,4::242,4::1036,1
238,4::242,4::260,1
239,4::242,4::2028,1
240,4::242,4::480,1
241,4::242,4::1196,1
242,4::242,4::1198,1
243,4::242,4::1954,1
244,4::242,4::1097,1
245,4::242,4::3418,1
246,4::242,4::3702,1
247,4::242,4::2366,1
248,4::242,4::1387,1
249,4::242,4::3527,1
250,4::242,4::1201,1
251,4::242,4::2692,1
252,4::242,4::2947,1
253,4::242,4::1240,1
254,5::241,5::2987,1
255,5::241,5::2333,1
256,5::241,5::1175,1
257,5::241,5::39,1
258,5::241,5::288,1
259,5::241,5::2337,1
260,5::241,5::1535,1
261,5::241,5::1392,1
262,5::241,5::2268,1
263,5::241,5::1466,1
264,5::241,5::860,1
265,5::241,5::1683,1
266,5::241,5::866,1
267,5::241,5::1684,1
268,5::241,5::2916,1
269,5::241,5::2770,1
270,5::241,5::215,0
271,5::241,5::1759,1
272,5::241,5::501,1
273,5::241,5::3578,1
274,5::241,5::506,1
275,5::241,5::1250,1
276,5::241,5::3793,1
277,5::241,5::509,1
278,5::241,5::41,0
279,5::241,5::1610,1
280,5::241,5::2058,1
281,5::241,5::3799,1
282,5::241,5::2997,1
283,5::241,5::47,1
284,5::241,5::2700,1
285,5::241,5::296,1
286,5::241,5::581,1
287,5::241,5::1617,1
288,5::241,5::728,1
289,5::241,5::299,1
290,5::241,5::3079,1
291,5::241,5::2560,1
292,5::241,5::1909,1
293,5::241,5::150,1
294,5::241,5::224,0
295,5::241,5::3728,1
296,5::241,5::229,1
297,5::241,5::6,1
298,5::241,5::3006,1
299,5::241,5::2858,1
300,5::241,5::1046,1
301,5::241,5::515,1
302,5::241,5::800,1
303,5::241,5::50,1
304,5::241,5::52,1
305,5::241,5::1191,1
306,5::241,5::1192,1
307,5::241,5::733,1
308,5::241,5::3081,1
309,5::241,5::377,1
310,5::241,5::2353,1
311,5::241,5::1268,1
312,5::241,5::3083,1
313,5::241,5::2427,1
314,5::241,5::3513,1
315,5::241,5::2428,1
316,5::241,5::2355,1
317,5::241,5::2282,1
318,5::241,5::3514,1
319,5::241,5::1554,1
320,5::241,5::1912,1
321,5::241,5::593,1
322,5::241,5::2359,1
323,5::241,5::2716,1
324,5::241,5::1485,1
325,5::241,5::2717,1
326,5::241,5::2571,1
327,5::241,5::2289,1
328,5::241,5::162,1
329,5::241,5::1127,1
330,5::241,5::3016,1
331,5::241,5::2070,1
332,5::241,5::1704,1
333,5::241,5::3163,1
334,5::241,5::2437,1
335,5::241,5::2291,1
336,5::241,5::1635,1
337,5::241,5::1279,1
338,5::241,5::2721,1
339,5::241,5::2723,1
340,5::241,5::1921,1
341,5::241,5::2725,1
342,5::241,5::1923,1
343,5::241,5::2580,1
344,5::241,5::3386,1
345,5::241,5::3744,1
346,5::241,5::968,1
347,5::241,5::896,1
348,5::241,5::3020,1
349,5::241,5::1788,1
350,5::241,5::318,1
351,5::241,5::176,1
352,5::241,5::461,0
353,5::241,5::608,1
354,5::241,5::1429,1
355,5::241,5::2159,1
356,5::241,5::1715,1
357,5::241,5::1643,1
358,5::241,5::3249,1
359,5::241,5::3176,1
360,5::241,5::1719,1
361,5::241,5::2806,1
362,5::241,5::2734,1
363,5::241,5::1649,1
364,5::241,5::321,0
365,5::241,5::2013,1
366,5::241,5::3100,1
367,5::241,5::2952,1
368,5::241,5::1213,1
369,5::241,5::1794,1
370,5::241,5::2599,1
371,5::241,5::1500,1
372,5::241,5::3105,1
373,5::241,5::2959,1
374,5::241,5::1509,1
375,5::241,5::1721,1
376,5::241,5::1722,1
377,5::241,5::1650,1
378,5::241,5::908,1
379,5::241,5::1580,1
380,5::241,5::1653,1
381,5::241,5::2384,1
382,5::241,5::1729,1
383,5::241,5::3476,1
384,5::241,5::2890,1
385,5::241,5::3113,1
386,5::241,5::2028,1
387,5::241,5::16,1
388,5::241,5::265,1
389,5::241,5::2029,1
390,5::241,5::194,1
391,5::241,5::551,1
392,5::241,5::1513,1
393,5::241,5::3046,1
394,5::241,5::2318,1
395,5::241,5::1517,1
396,5::241,5::1089,1
397,5::241,5::3260,1
398,5::241,5::913,1
399,5::241,5::1730,1
400,5::241,5::3408,1
401,5::241,5::3409,1
402,5::241,5::2607,1
403,5::241,5::1449,1
404,5::241,5::1732,1
405,5::241,5::1733,1
406,5::241,5::2390,1
407,5::241,5::1734,1
408,5::241,5::3266,1
409,5::241,5::3267,1
410,5::241,5::919,1
411,5::241,5::3624,1
412,5::241,5::2395,1
413,5::241,5::1594,1
414,5::241,5::2683,1
415,5::241,5::412,0
416,5::241,5::2759,1
417,5::241,5::994,1
418,5::241,5::1884,1
419,5::241,5::1885,1
420,5::241,5::272,1
421,5::241,5::24,0
422,5::241,5::3051,1
423,5::241,5::348,1
424,5::241,5::2323,1
425,5::241,5::1093,1
426,5::241,5::29,1
427,5::241,5::562,1
428,5::241,5::1095,1
429,5::241,5::1527,1
430,5::241,5::1529,1
431,5::241,5::3418,1
432,5::241,5::2188,1
433,5::241,5::497,1
434,5::241,5::202,1
435,5::241,5::1747,1
436,5::241,5::2908,1
437,5::241,5::2762,1
438,5::241,5::2692,1
439,5::241,5::1966,1
440,5::241,5::3499,1
441,5::241,5::353,1
442,5::241,5::32,1
443,5::241,5::1243,1
444,5::241,5::1897,1
445,5::241,5::1171,1
446,5::241,5::3786,1
447,5::241,5::34,1
448,5::241,5::356,1
449,5::241,5::357,1
450,5::241,5::36,1
451,5::241,5::714,1
452,6::47,6::2406,1
453,6::47,6::1101,1
454,6::47,6::3717,1
455,6::47,6::1030,1
456,6::47,6::1688,1
457,6::47,6::1035,1
